source_url,high,medium,low,non_critical,gas
https://code4rena.com/reports/2021-02-slingshot,0,0,0,0,0
https://code4rena.com/reports/2021-03-elasticdao,0,0,0,0,0
https://code4rena.com/reports/2021-04-basedloans,0,0,0,0,0
https://code4rena.com/reports/2021-04-maple,0,0,0,0,0
https://code4rena.com/reports/2021-04-marginswap,0,0,0,0,0
https://code4rena.com/reports/2021-04-meebits,0,0,0,0,0
https://code4rena.com/reports/2021-04-vader,0,0,0,0,0
https://code4rena.com/reports/2021-05-88mph,0,0,0,0,0
https://code4rena.com/reports/2021-05-fairside,0,0,0,0,0
https://code4rena.com/reports/2021-05-nftx,24,48,60,0,0
https://code4rena.com/reports/2021-05-visorfinance,0,0,0,0,0
https://code4rena.com/reports/2021-05-yield,18,54,108,72,0
https://code4rena.com/reports/2021-06-gro,24,36,0,186,144
https://code4rena.com/reports/2021-06-pooltogether,30,42,108,36,204
https://code4rena.com/reports/2021-06-realitycards,24,0,0,0,0
https://code4rena.com/reports/2021-06-tracer,0,0,0,120,72
https://code4rena.com/reports/2021-07-connext,30,12,66,0,72
https://code4rena.com/reports/2021-07-pooltogether,0,24,0,0,0
https://code4rena.com/reports/2021-07-sherlock,12,24,186,0,0
https://code4rena.com/reports/2021-07-spartan,78,84,0,0,0
https://code4rena.com/reports/2021-07-wildcredit,0,0,0,144,96
https://code4rena.com/reports/2021-08-floatcapital,0,36,90,150,126
https://code4rena.com/reports/2021-08-gravitybridge,24,24,60,96,60
https://code4rena.com/reports/2021-08-notional,60,42,126,78,48
https://code4rena.com/reports/2021-08-realitycards,12,18,150,66,54
https://code4rena.com/reports/2021-08-yield,30,24,72,54,108
https://code4rena.com/reports/2021-09-bvecvx,6,12,114,78,102
https://code4rena.com/reports/2021-09-defiprotocol,18,138,270,234,276
https://code4rena.com/reports/2021-09-sushimiso,18,6,126,282,174
https://code4rena.com/reports/2021-09-sushitrident,96,60,234,120,150
https://code4rena.com/reports/2021-09-sushitrident-2,102,42,138,54,42
https://code4rena.com/reports/2021-09-swivel,24,30,108,120,168
https://code4rena.com/reports/2021-09-wildcredit,18,24,60,168,132
https://code4rena.com/reports/2021-09-yaxis,60,90,150,66,162
https://code4rena.com/reports/2021-10-ambire,24,0,36,60,126
https://code4rena.com/reports/2021-10-badgerdao,24,24,90,72,96
https://code4rena.com/reports/2021-10-covalent,12,18,24,66,108
https://code4rena.com/reports/2021-10-defiprotocol,6,48,72,96,204
https://code4rena.com/reports/2021-10-mochi,78,90,60,108,198
https://code4rena.com/reports/2021-10-pooltogether,12,12,60,48,114
https://code4rena.com/reports/2021-10-slingshot,0,12,72,102,144
https://code4rena.com/reports/2021-10-tally,12,18,54,36,120
https://code4rena.com/reports/2021-10-tempus,6,12,30,72,96
https://code4rena.com/reports/2021-10-tracer,0,18,24,66,72
https://code4rena.com/reports/2021-10-union,12,66,72,78,258
https://code4rena.com/reports/2021-11-badgerzaps,6,36,42,42,114
https://code4rena.com/reports/2021-11-bootfinance,54,72,204,234,372
https://code4rena.com/reports/2021-11-fairside,24,12,36,78,126
https://code4rena.com/reports/2021-11-fei,0,0,54,84,150
https://code4rena.com/reports/2021-11-malt,30,180,258,150,450
https://code4rena.com/reports/2021-11-nested,6,48,132,120,300
https://code4rena.com/reports/2021-11-overlay,12,54,84,42,216
https://code4rena.com/reports/2021-11-streaming,60,30,162,138,318
https://code4rena.com/reports/2021-11-unlock,24,78,192,324,288
https://code4rena.com/reports/2021-11-vader,204,138,246,216,336
https://code4rena.com/reports/2021-11-yaxis,12,6,72,114,198
https://code4rena.com/reports/2021-12-amun,12,60,138,264,300
https://code4rena.com/reports/2021-12-defiprotocol,6,66,48,174,240
https://code4rena.com/reports/2021-12-maple,6,12,30,42,60
https://code4rena.com/reports/2021-12-mellow,24,42,72,66,234
https://code4rena.com/reports/2021-12-nftx,18,102,228,114,282
https://code4rena.com/reports/2021-12-perennial,12,18,36,30,132
https://code4rena.com/reports/2021-12-pooltogether,42,30,54,12,90
https://code4rena.com/reports/2021-12-sublime,66,48,144,108,192
https://code4rena.com/reports/2021-12-vader,84,36,102,84,174
https://code4rena.com/reports/2021-12-yetifinance,12,54,198,102,336
https://code4rena.com/reports/2022-01-behodler,42,84,72,60,186
https://code4rena.com/reports/2022-01-elasticswap,12,6,36,78,162
https://code4rena.com/reports/2022-01-insure,84,54,252,90,588
https://code4rena.com/reports/2022-01-livepeer,6,48,66,144,228
https://code4rena.com/reports/2022-01-notional,18,42,48,96,138
https://code4rena.com/reports/2022-01-openleverage,6,30,90,132,240
https://code4rena.com/reports/2022-01-sandclock,30,90,126,102,0
https://code4rena.com/reports/2022-01-sherlock,6,24,54,198,144
https://code4rena.com/reports/2022-01-timeswap,42,60,96,66,258
https://code4rena.com/reports/2022-01-trader-joe,12,90,156,36,408
https://code4rena.com/reports/2022-01-xdefi,12,6,60,54,168
https://code4rena.com/reports/2022-01-yield,12,12,36,54,108
https://code4rena.com/reports/2022-02-aave-lens,0,78,0,0,0
