source_platform,source_url,project_name,chain_or_vm,language,finding_id_or_title,severity_raw,severity_normalized,bug_family,attack_chain_stage,root_cause_type,exploit_prerequisites,fix_pattern,report_date,public_disclosure_date
code4rena,https://code4rena.com/reports/2021-02-slingshot,Slingshot,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-02-01,2021-02-01
code4rena,https://code4rena.com/reports/2021-03-elasticdao,Elasticdao,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-03-01,2021-03-01
code4rena,https://code4rena.com/reports/2021-04-basedloans,Basedloans,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-04-01,2021-04-01
code4rena,https://code4rena.com/reports/2021-04-maple,Maple,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-04-01,2021-04-01
code4rena,https://code4rena.com/reports/2021-04-marginswap,Marginswap,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-04-01,2021-04-01
code4rena,https://code4rena.com/reports/2021-04-meebits,Meebits,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-04-01,2021-04-01
code4rena,https://code4rena.com/reports/2021-04-vader,Vader,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-04-01,2021-04-01
code4rena,https://code4rena.com/reports/2021-05-88mph,88Mph,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-05-01,2021-05-01
code4rena,https://code4rena.com/reports/2021-05-fairside,Fairside,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-05-01,2021-05-01
code4rena,https://code4rena.com/reports/2021-05-nftx,Nftx,EVM,Solidity,,H=24;M=48;L=60;NC=0;G=0,high,,,,,,2021-05-01,2021-05-01
code4rena,https://code4rena.com/reports/2021-05-visorfinance,Visorfinance,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2021-05-01,2021-05-01
code4rena,https://code4rena.com/reports/2021-05-yield,Yield,EVM,Solidity,,H=18;M=54;L=108;NC=72;G=0,high,,,,,,2021-05-01,2021-05-01
code4rena,https://code4rena.com/reports/2021-06-gro,Gro,EVM,Solidity,,H=24;M=36;L=0;NC=186;G=144,high,,,,,,2021-06-01,2021-06-01
code4rena,https://code4rena.com/reports/2021-06-pooltogether,Pooltogether,EVM,Solidity,,H=30;M=42;L=108;NC=36;G=204,high,,,,,,2021-06-01,2021-06-01
code4rena,https://code4rena.com/reports/2021-06-realitycards,Realitycards,EVM,Solidity,,H=24;M=0;L=0;NC=0;G=0,high,,,,,,2021-06-01,2021-06-01
code4rena,https://code4rena.com/reports/2021-06-tracer,Tracer,EVM,Solidity,,H=0;M=0;L=0;NC=120;G=72,low,,,,,,2021-06-01,2021-06-01
code4rena,https://code4rena.com/reports/2021-07-connext,Connext,EVM,Solidity,,H=30;M=12;L=66;NC=0;G=72,high,,,,,,2021-07-01,2021-07-01
code4rena,https://code4rena.com/reports/2021-07-pooltogether,Pooltogether,EVM,Solidity,,H=0;M=24;L=0;NC=0;G=0,medium,,,,,,2021-07-01,2021-07-01
code4rena,https://code4rena.com/reports/2021-07-sherlock,Sherlock,EVM,Solidity,,H=12;M=24;L=186;NC=0;G=0,high,,,,,,2021-07-01,2021-07-01
code4rena,https://code4rena.com/reports/2021-07-spartan,Spartan,EVM,Solidity,,H=78;M=84;L=0;NC=0;G=0,high,,,,,,2021-07-01,2021-07-01
code4rena,https://code4rena.com/reports/2021-07-wildcredit,Wildcredit,EVM,Solidity,,H=0;M=0;L=0;NC=144;G=96,low,,,,,,2021-07-01,2021-07-01
code4rena,https://code4rena.com/reports/2021-08-floatcapital,Floatcapital,EVM,Solidity,,H=0;M=36;L=90;NC=150;G=126,medium,,,,,,2021-08-01,2021-08-01
code4rena,https://code4rena.com/reports/2021-08-gravitybridge,Gravitybridge,EVM,Solidity,,H=24;M=24;L=60;NC=96;G=60,high,,,,,,2021-08-01,2021-08-01
code4rena,https://code4rena.com/reports/2021-08-notional,Notional,EVM,Solidity,,H=60;M=42;L=126;NC=78;G=48,high,,,,,,2021-08-01,2021-08-01
code4rena,https://code4rena.com/reports/2021-08-realitycards,Realitycards,EVM,Solidity,,H=12;M=18;L=150;NC=66;G=54,high,,,,,,2021-08-01,2021-08-01
code4rena,https://code4rena.com/reports/2021-08-yield,Yield,EVM,Solidity,,H=30;M=24;L=72;NC=54;G=108,high,,,,,,2021-08-01,2021-08-01
code4rena,https://code4rena.com/reports/2021-09-bvecvx,Bvecvx,EVM,Solidity,,H=6;M=12;L=114;NC=78;G=102,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-defiprotocol,Defiprotocol,EVM,Solidity,,H=18;M=138;L=270;NC=234;G=276,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-sushimiso,Sushimiso,EVM,Solidity,,H=18;M=6;L=126;NC=282;G=174,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-sushitrident,Sushitrident,EVM,Solidity,,H=96;M=60;L=234;NC=120;G=150,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-sushitrident-2,Sushitrident 2,EVM,Solidity,,H=102;M=42;L=138;NC=54;G=42,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-swivel,Swivel,EVM,Solidity,,H=24;M=30;L=108;NC=120;G=168,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-wildcredit,Wildcredit,EVM,Solidity,,H=18;M=24;L=60;NC=168;G=132,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-09-yaxis,Yaxis,EVM,Solidity,,H=60;M=90;L=150;NC=66;G=162,high,,,,,,2021-09-01,2021-09-01
code4rena,https://code4rena.com/reports/2021-10-ambire,Ambire,EVM,Solidity,,H=24;M=0;L=36;NC=60;G=126,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-badgerdao,Badgerdao,EVM,Solidity,,H=24;M=24;L=90;NC=72;G=96,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-covalent,Covalent,EVM,Solidity,,H=12;M=18;L=24;NC=66;G=108,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-defiprotocol,Defiprotocol,EVM,Solidity,,H=6;M=48;L=72;NC=96;G=204,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-mochi,Mochi,EVM,Solidity,,H=78;M=90;L=60;NC=108;G=198,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-pooltogether,Pooltogether,EVM,Solidity,,H=12;M=12;L=60;NC=48;G=114,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-slingshot,Slingshot,EVM,Solidity,,H=0;M=12;L=72;NC=102;G=144,medium,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-tally,Tally,EVM,Solidity,,H=12;M=18;L=54;NC=36;G=120,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-tempus,Tempus,EVM,Solidity,,H=6;M=12;L=30;NC=72;G=96,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-tracer,Tracer,EVM,Solidity,,H=0;M=18;L=24;NC=66;G=72,medium,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-10-union,Union,EVM,Solidity,,H=12;M=66;L=72;NC=78;G=258,high,,,,,,2021-10-01,2021-10-01
code4rena,https://code4rena.com/reports/2021-11-badgerzaps,Badgerzaps,EVM,Solidity,,H=6;M=36;L=42;NC=42;G=114,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-bootfinance,Bootfinance,EVM,Solidity,,H=54;M=72;L=204;NC=234;G=372,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-fairside,Fairside,EVM,Solidity,,H=24;M=12;L=36;NC=78;G=126,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-fei,Fei,EVM,Solidity,,H=0;M=0;L=54;NC=84;G=150,low,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-malt,Malt,EVM,Solidity,,H=30;M=180;L=258;NC=150;G=450,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-nested,Nested,EVM,Solidity,,H=6;M=48;L=132;NC=120;G=300,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-overlay,Overlay,EVM,Solidity,,H=12;M=54;L=84;NC=42;G=216,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-streaming,Streaming,EVM,Solidity,,H=60;M=30;L=162;NC=138;G=318,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-unlock,Unlock,EVM,Solidity,,H=24;M=78;L=192;NC=324;G=288,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-vader,Vader,EVM,Solidity,,H=204;M=138;L=246;NC=216;G=336,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-11-yaxis,Yaxis,EVM,Solidity,,H=12;M=6;L=72;NC=114;G=198,high,,,,,,2021-11-01,2021-11-01
code4rena,https://code4rena.com/reports/2021-12-amun,Amun,EVM,Solidity,,H=12;M=60;L=138;NC=264;G=300,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-defiprotocol,Defiprotocol,EVM,Solidity,,H=6;M=66;L=48;NC=174;G=240,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-maple,Maple,EVM,Solidity,,H=6;M=12;L=30;NC=42;G=60,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-mellow,Mellow,EVM,Solidity,,H=24;M=42;L=72;NC=66;G=234,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-nftx,Nftx,EVM,Solidity,,H=18;M=102;L=228;NC=114;G=282,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-perennial,Perennial,EVM,Solidity,,H=12;M=18;L=36;NC=30;G=132,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-pooltogether,Pooltogether,EVM,Solidity,,H=42;M=30;L=54;NC=12;G=90,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-sublime,Sublime,EVM,Solidity,,H=66;M=48;L=144;NC=108;G=192,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-vader,Vader,EVM,Solidity,,H=84;M=36;L=102;NC=84;G=174,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2021-12-yetifinance,Yetifinance,EVM,Solidity,,H=12;M=54;L=198;NC=102;G=336,high,,,,,,2021-12-01,2021-12-01
code4rena,https://code4rena.com/reports/2022-01-behodler,Behodler,EVM,Solidity,,H=42;M=84;L=72;NC=60;G=186,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-elasticswap,Elasticswap,EVM,Solidity,,H=12;M=6;L=36;NC=78;G=162,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-insure,Insure,EVM,Solidity,,H=84;M=54;L=252;NC=90;G=588,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-livepeer,Livepeer,EVM,Solidity,,H=6;M=48;L=66;NC=144;G=228,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-notional,Notional,EVM,Solidity,,H=18;M=42;L=48;NC=96;G=138,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-openleverage,Openleverage,EVM,Solidity,,H=6;M=30;L=90;NC=132;G=240,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-sandclock,Sandclock,EVM,Solidity,,H=30;M=90;L=126;NC=102;G=0,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-sherlock,Sherlock,EVM,Solidity,,H=6;M=24;L=54;NC=198;G=144,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-timeswap,Timeswap,EVM,Solidity,,H=42;M=60;L=96;NC=66;G=258,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-trader-joe,Trader Joe,EVM,Solidity,,H=12;M=90;L=156;NC=36;G=408,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-xdefi,Xdefi,EVM,Solidity,,H=12;M=6;L=60;NC=54;G=168,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-01-yield,Yield,EVM,Solidity,,H=12;M=12;L=36;NC=54;G=108,high,,,,,,2022-01-01,2022-01-01
code4rena,https://code4rena.com/reports/2022-02-aave-lens,Aave Lens,EVM,Solidity,,H=0;M=78;L=0;NC=0;G=0,medium,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-anchor,Anchor,Solana,Rust,,H=18;M=72;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-badger-citadel,Badger Citadel,EVM,Solidity,,H=0;M=18;L=0;NC=0;G=0,medium,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-concur,Concur,EVM,Solidity,,H=66;M=186;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-foundation,Foundation,EVM,Solidity,,H=18;M=108;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-hubble,Hubble,EVM,Solidity,,H=18;M=102;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-jpyc,Jpyc,EVM,Solidity,,H=0;M=0;L=0;NC=0;G=0,,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-nested,Nested,EVM,Solidity,,H=0;M=30;L=0;NC=0;G=0,medium,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-pooltogether,Pooltogether,EVM,Solidity,,H=0;M=6;L=0;NC=0;G=0,medium,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-redacted-cartel,Redacted Cartel,EVM,Solidity,,H=0;M=108;L=0;NC=0;G=0,medium,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-skale,Skale,EVM,Solidity,,H=12;M=66;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-02-tribe-turbo,Tribe Turbo,EVM,Solidity,,H=12;M=30;L=0;NC=0;G=0,high,,,,,,2022-02-01,2022-02-01
code4rena,https://code4rena.com/reports/2022-03-biconomy,Biconomy,EVM,Solidity,,H=30;M=120;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-joyn,Joyn,EVM,Solidity,,H=54;M=72;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-lifinance,Lifinance,EVM,Solidity,,H=12;M=78;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-maple,Maple,EVM,Solidity,,H=0;M=12;L=0;NC=0;G=0,medium,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-paladin,Paladin,EVM,Solidity,,H=12;M=90;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-prepo,Prepo,EVM,Solidity,,H=18;M=30;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-rolla,Rolla,EVM,Solidity,,H=24;M=60;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-sublime,Sublime,EVM,Solidity,,H=12;M=24;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-timeswap,Timeswap,EVM,Solidity,,H=6;M=18;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-03-volt,Volt,EVM,Solidity,,H=6;M=36;L=0;NC=0;G=0,high,,,,,,2022-03-01,2022-03-01
code4rena,https://code4rena.com/reports/2022-04-abranft,Abranft,EVM,Solidity,,H=30;M=6;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-axelar,Axelar,EVM,Solidity,,H=6;M=24;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-backd,Backd,EVM,Solidity,,H=18;M=90;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-backed,Backed,EVM,Solidity,,H=18;M=42;L=0;NC=0;G=138,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-badger-citadel,Badger Citadel,EVM,Solidity,,H=18;M=30;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-dualityfocus,Dualityfocus,EVM,Solidity,,H=0;M=30;L=0;NC=0;G=0,medium,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-jpegd,Jpegd,EVM,Solidity,,H=54;M=66;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-mimo,Mimo,EVM,Solidity,,H=12;M=30;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-phuture,Phuture,EVM,Solidity,,H=12;M=48;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-pooltogether,Pooltogether,EVM,Solidity,,H=6;M=30;L=0;NC=0;G=0,high,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-04-xtribe,Xtribe,EVM,Solidity,,H=0;M=42;L=0;NC=0;G=0,medium,,,,,,2022-04-01,2022-04-01
code4rena,https://code4rena.com/reports/2022-05-alchemix,Alchemix,EVM,Solidity,,H=0;M=102;L=0;NC=0;G=0,medium,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-aura,Aura,EVM,Solidity,,H=6;M=132;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-backd,Backd,EVM,Solidity,,H=12;M=108;L=0;NC=0;G=0,high,,,,,,2022-05-01,2022-05-01
code4rena,https://code4rena.com/reports/2022-05-bunker,Bunker,EVM,Solidity,,H=0;M=24;L=0;NC=0;G=0,medium,,,,,,2022-05-01,2022-05-01
